channel_name,published_date,view_count,video_length,video_url,title,label
News 19 WLTX,2023-12-07T22:51:26Z,9989,PT2M9S,https://www.youtube.com/watch?v=8Z6L0crGI7Q,VERIFYING Nikki Haley claim from the fourth Republican presidential primary debate,
News 19 WLTX,2023-12-09T04:35:01Z,5674,PT2M15S,https://www.youtube.com/watch?v=vNEDcZJrXYA,Actor Ryan O'Neal dies at 82,
News 19 WLTX,2023-12-08T04:27:40Z,1644,PT39S,https://www.youtube.com/watch?v=wmDHY6xEOuM,Deputies: Lexington County man dead after father tells son to shoot him,
News 19 WLTX,2023-12-07T23:13:13Z,1389,PT1M39S,https://www.youtube.com/watch?v=LZZUEcPnA6A,McDonald's is opening a new chain called CosMc's.,
News 19 WLTX,2023-12-07T23:15:13Z,1111,PT54S,https://www.youtube.com/watch?v=n1NVNayO1is,'Rockin' Around the Christmas Tree' reaches No. 1 after 65 years,
News 19 WLTX,2023-12-08T04:33:27Z,904,PT1M40S,https://www.youtube.com/watch?v=sRhkSDoqy3A,"No, typing @highlight into a Facebook comment wonâ€™t reveal the identity of people checking your prof",
News 19 WLTX,2023-12-08T04:45:12Z,704,PT28S,https://www.youtube.com/watch?v=Ev51pRy_1y8,War between Israel and Hamas is now entering its third month of fighting,
News 19 WLTX,2023-12-08T22:20:50Z,682,PT2M52S,https://www.youtube.com/watch?v=wHGUADxh79E,Man found guilty in death during deadly riot at South County state prison,
News 19 WLTX,2023-12-07T23:07:25Z,665,PT2M44S,https://www.youtube.com/watch?v=3VLEenKwRrM,Michael Juan Smith takes stand in his own defense on Thursday,
News 19 WLTX,2023-12-08T04:28:00Z,439,PT19S,https://www.youtube.com/watch?v=5So5Xknq4_w,Police find man shot dead inside Columbia home; investigation underway,
News 19 WLTX,2023-12-09T00:50:03Z,433,PT3M33S,https://www.youtube.com/watch?v=8b88PhwF0ns,Heavy rainfall and strong storms possible Sunday,
News 19 WLTX,2023-12-09T00:20:53Z,361,PT57S,https://www.youtube.com/watch?v=i_ehDDWKa-o,"Evening winning SC lottery numbers for December 8, 2023",
News 19 WLTX,2023-12-08T00:50:09Z,360,PT45S,https://www.youtube.com/watch?v=UKMbxzqHZ8o,"Evening SC lottery winning numbers: December 7, 2023",
News 19 WLTX,2023-12-08T04:23:22Z,357,PT1M57S,https://www.youtube.com/watch?v=BvUE5Y-xKgE,South Carolina State students react to the hiring of new football coach,
News 19 WLTX,2023-12-07T23:33:45Z,315,PT1M55S,https://www.youtube.com/watch?v=jgc9IRa_hy4,Benedict's Chennis Berry named new football coach at South Carolina State University,
