,channel_name,published_date,view_count,video_length,video_url,title,label
144,News 19 WLTX,2023-12-07T22:51:26Z,9989,PT2M9S,https://www.youtube.com/watch?v=8Z6L0crGI7Q,VERIFYING Nikki Haley claim from the fourth Republican presidential primary debate,
243,WVTM 13 News,2023-12-06T17:27:55Z,9288,PT6M5S,https://www.youtube.com/watch?v=iXozfCNpGP8,GOP presidential primary debate preview,
102,News 19 WLTX,2023-12-09T04:35:01Z,5674,PT2M15S,https://www.youtube.com/watch?v=vNEDcZJrXYA,Actor Ryan O'Neal dies at 82,
241,WVTM 13 News,2023-12-06T18:59:43Z,5383,PT3M4S,https://www.youtube.com/watch?v=Q5KEYP6qXUM,Ahead of the GOP presidential primary debate in Alabama,
224,WVTM 13 News,2023-12-07T19:15:14Z,4431,PT30S,https://www.youtube.com/watch?v=DQhsmDHa2lE,Coach Saban's family reacts to Alabama getting in the College Football Playoff,
5,WFLA News Channel 8,2023-12-08T22:47:13Z,4016,PT1M49S,https://www.youtube.com/watch?v=VJrukIRuMIk,Deadly Skyway crash suspectâ€™s partner in crime tried to hit deputies with Mercedes: HCSO,
41,WFLA News Channel 8,2023-12-06T21:44:15Z,3582,PT2M20S,https://www.youtube.com/watch?v=v7BXqMZykxU,Riverview woman attacked in Publix parking lot,
240,WVTM 13 News,2023-12-06T21:02:35Z,3420,PT6M25S,https://www.youtube.com/watch?v=sz-QtgoyhBo,Former Alabama Sen. Doug Jones on GOP presidential primary debate,
247,WVTM 13 News,2023-12-06T04:21:10Z,3258,PT1M19S,https://www.youtube.com/watch?v=4MWFfj1bmRs,'It's over': Sen. Tommy Tuberville ends blockade of most military nominees,
236,WVTM 13 News,2023-12-06T22:50:26Z,2947,PT7M16S,https://www.youtube.com/watch?v=muuON53LJxY,Ahead of the GOP presidential primary debate,
153,KNWT TV Channel 8,2023-09-20T19:00:09Z,2927,PT25S,https://www.youtube.com/watch?v=Gb0Ihf0ISiw,There's always that ONE guy in the group || Sulfur and Saloons #knwt #dungeonsanddragons #dnd,
203,WVTM 13 News,2023-12-09T12:24:12Z,2817,PT3M21S,https://www.youtube.com/watch?v=skgsR2I1GsI,"Showers early Saturday then strong storms become possible overnight across Alabama. Heavy rain, l...",
16,WFLA News Channel 8,2023-12-07T22:52:16Z,2415,PT2M17S,https://www.youtube.com/watch?v=-ONHauutwEs,Pasco County Sheriff's Office launches investigation into Land O'Lakes dry cleaning business after i,
22,WFLA News Channel 8,2023-12-07T21:35:13Z,1866,PT2M19S,https://www.youtube.com/watch?v=JOknoDxZqys,Wrongway crash kills two on Skyway,
21,WFLA News Channel 8,2023-12-07T21:35:28Z,1785,PT2M19S,https://www.youtube.com/watch?v=q7493bjk-TM,Wrong way crash kills two on Skyway,
45,WFLA News Channel 8,2023-12-05T23:51:51Z,1655,PT3M2S,https://www.youtube.com/watch?v=TGLtyTqi1TA,State asked to investigate judges in Tampa homestead fight that could impact other homeowners,
127,News 19 WLTX,2023-12-08T04:27:40Z,1644,PT39S,https://www.youtube.com/watch?v=wmDHY6xEOuM,Deputies: Lexington County man dead after father tells son to shoot him,
19,WFLA News Channel 8,2023-12-07T22:25:53Z,1535,PT1M10S,https://www.youtube.com/watch?v=GpXZ0i2hlws,"Rapper Kodak Black arrested in Florida on cocaine possession, other charges",
249,WVTM 13 News,2023-12-06T00:51:44Z,1527,PT1M53S,https://www.youtube.com/watch?v=ogCAvyffEzM,Tuscaloosa mayor on GOP debate,
35,WFLA News Channel 8,2023-12-07T00:02:11Z,1515,PT12M45S,https://www.youtube.com/watch?v=Lox6ihyq31s,Tampa police will provide update on Ybor City mass shooting,
141,News 19 WLTX,2023-12-07T23:13:13Z,1389,PT1M39S,https://www.youtube.com/watch?v=LZZUEcPnA6A,McDonald's is opening a new chain called CosMc's.,
44,WFLA News Channel 8,2023-12-06T03:19:45Z,1215,PT2M15S,https://www.youtube.com/watch?v=nFrjyLLQhpU,â€˜It was a matter of timeâ€™: Residents heartbroken but not surprised by teenâ€™s death at Lakeland inter,
14,WFLA News Channel 8,2023-12-08T02:46:49Z,1193,PT1M39S,https://www.youtube.com/watch?v=fV_QScb8R30,2 seriously injured after plane crash at Pasco County airport,
43,WFLA News Channel 8,2023-12-06T12:45:16Z,1116,PT2M24S,https://www.youtube.com/watch?v=QY53NnreWyY,Polk County students mourn15-year-old classmate killed in crash,
13,WFLA News Channel 8,2023-12-08T04:28:32Z,1113,PT3M13S,https://www.youtube.com/watch?v=n4p9AqtGieI,"â€˜No regard for human lifeâ€™: 3rd suspect arrested in Ybor shooting, Tampa police say",
206,WVTM 13 News,2023-12-09T00:40:01Z,1113,PT2M58S,https://www.youtube.com/watch?v=Nb0lNgF9-KE,Strong to severe storms possible Saturday night through Sunday morning in Alabama. Expect gusty w...,
140,News 19 WLTX,2023-12-07T23:15:13Z,1111,PT54S,https://www.youtube.com/watch?v=n1NVNayO1is,'Rockin' Around the Christmas Tree' reaches No. 1 after 65 years,
42,WFLA News Channel 8,2023-12-06T17:04:24Z,1067,PT16S,https://www.youtube.com/watch?v=3-pCfDYk2N0,Max Defender 8,
223,WVTM 13 News,2023-12-07T22:35:47Z,1063,PT3M6S,https://www.youtube.com/watch?v=HXW8MCHyHlY,Watching a threat of some strong or severe storms in Alabama's forecast this weekend,
235,WVTM 13 News,2023-12-07T00:21:59Z,1055,PT34S,https://www.youtube.com/watch?v=sKqV7do_wpc,A look at the spin room ahead of the GOP presidential primary debate,
213,WVTM 13 News,2023-12-08T18:01:00Z,982,PT2M33S,https://www.youtube.com/watch?v=QdyeD_0mh6g,Strong to severe storms forecast to move into Alabama Saturday night,
8,WFLA News Channel 8,2023-12-08T22:06:58Z,977,PT2M24S,https://www.youtube.com/watch?v=cpJ3-oZOX2g,Could a new proposal increase costs for HOA homeowners?,
125,News 19 WLTX,2023-12-08T04:33:27Z,904,PT1M40S,https://www.youtube.com/watch?v=sRhkSDoqy3A,"No, typing @highlight into a Facebook comment wonâ€™t reveal the identity of people checking your prof",
15,WFLA News Channel 8,2023-12-07T23:18:01Z,901,PT2M37S,https://www.youtube.com/watch?v=5znIL-urnYs,Third arrest in Ybor shooting,
