,channel_name,published_date,view_count,video_url,title
185,The F Word,2023-01-06T17:00:10Z,23656816,https://www.youtube.com/watch?v=9qpMuFrTEKo,Gordon Gets Beaten By A Convict! #shorts
113,SomeGoodNews,2020-03-30T02:18:55Z,19491153,https://www.youtube.com/watch?v=F5pgG1M_h_U,Some Good News with John Krasinski Ep. 1
102,SomeGoodNews,2020-05-11T04:18:14Z,19410432,https://www.youtube.com/watch?v=NDjNX3nEfYo,The Office Cast Reunites for Zoom Wedding: Some Good News with John Krasinski (Ep. 7)
195,The F Word,2022-10-21T16:00:04Z,18071566,https://www.youtube.com/watch?v=5pvaLA4X9GE,Gordon's Mum Still Knows Best! #shorts
189,The F Word,2022-12-02T17:00:39Z,14266564,https://www.youtube.com/watch?v=vq0L_4y-hVs,Johnny Vegas Outsmarts Gordon Ramsay #shorts
111,SomeGoodNews,2020-04-06T02:46:28Z,13875000,https://www.youtube.com/watch?v=oilZ1hNZPRM,Hamilton Cast Zoom Surprise: Some Good News with John Krasinski (Ep. 2)
107,SomeGoodNews,2020-04-20T02:44:18Z,6707422,https://www.youtube.com/watch?v=VQLi2GYVULc,"SGN Prom with Billie Eilish, Jonas Brothers, & Chance the Rapper (Ep. 4)"
109,SomeGoodNews,2020-04-13T03:36:39Z,6539150,https://www.youtube.com/watch?v=Eg08rJGKjtA,Baseball Is Back: Some Good News with John Krasinski (Ep. 3)
112,SomeGoodNews,2020-04-04T14:00:36Z,5338747,https://www.youtube.com/watch?v=JNvpcGV1frQ,John Krasinski interviews Steve Carell on Some Good News [FULL INTERVIEW]
110,SomeGoodNews,2020-04-08T22:08:59Z,5177318,https://www.youtube.com/watch?v=cqvVL8IurMw,"Hamilton Original Broadway Cast Zoom Performance ""Alexander Hamilton"""
105,SomeGoodNews,2020-04-27T03:45:22Z,4093922,https://www.youtube.com/watch?v=o1zIgTwENPg,"SGN Potluck with Martha Stewart, Guy Fieri, David Chang, & Stanley Tucci (Ep. 5)"
103,SomeGoodNews,2020-05-04T03:01:54Z,3801506,https://www.youtube.com/watch?v=IweS2CPSnbI,"SGN Graduation with Oprah, Steven Spielberg, Jon Stewart, and Malala (Ep. 6)"
101,SomeGoodNews,2020-05-18T01:15:00Z,3512893,https://www.youtube.com/watch?v=TXdKrtmexWU,Some Good News with John Krasinski: The SGN Community Episode! (Ep. 8)
193,The F Word,2022-11-04T17:00:21Z,3324843,https://www.youtube.com/watch?v=KjBMkS0TT4c,Gordon's Favourite Delicacies With Ricky Gervais #shorts
148,The Daily Show,2022-06-30T01:34:58Z,2626302,https://www.youtube.com/watch?v=XCYq3rltnVI,Women Advised to Delete Period Tracking Apps & Sweden and Finland Join NATO | The Daily Show
132,The Daily Show,2022-08-03T02:26:50Z,2383319,https://www.youtube.com/watch?v=4Mr3WL9zD_o,U.S. Kills Al Qaeda Leader al-Zawahiri & Trumpâ€™s â€œEricâ€ Endorsement Creates Chaos | The Daily Show
147,The Daily Show,2022-07-01T02:31:12Z,2374814,https://www.youtube.com/watch?v=LypyAmqvkZk,SCOTUS Restricts the EPA & R. Kelly and Ghislaine Maxwell Get Prison Sentences | The Daily Show
114,SomeGoodNews,2020-03-30T00:12:31Z,2229217,https://www.youtube.com/watch?v=6DLU4Gih0gY,Sharing Some Good News
100,SomeGoodNews,2020-12-21T03:57:11Z,2186325,https://www.youtube.com/watch?v=3GwU4GKzLXY,Holiday Special with Dwayne Johnson: Some Good News with John Krasinski
134,The Daily Show,2022-08-02T01:07:09Z,1979275,https://www.youtube.com/watch?v=QHY2ydqC6D4,Ivana Trumpâ€™s Golf Course Burial & BeyoncÃ©â€™s Controversial Lyric | The Daily Show
140,The Daily Show,2022-07-23T13:00:37Z,1778233,https://www.youtube.com/watch?v=y0CHsK2rUgA,What The Hell Happened This Week? Week of 7/18/2022 | The Daily Show
141,The Daily Show,2022-07-22T14:55:36Z,1644502,https://www.youtube.com/watch?v=UZsu1OQ-hFI,Will Trump Run for President to Avoid Prison? | The Daily Show
137,The Daily Show,2022-07-28T01:56:33Z,1458133,https://www.youtube.com/watch?v=yoE8VTw7Y-o,The Justice Department Investigates Trump & Instagram Faces Backlash | The Daily Show
143,The Daily Show,2022-07-19T01:39:06Z,1332816,https://www.youtube.com/watch?v=kT7SlqL474Q,Biden Fist-Bumps Saudi Prince & Manchin Shuts Down Climate Compromise | The Daily Show
146,The Daily Show,2022-07-01T14:13:27Z,1074504,https://www.youtube.com/watch?v=-Fb48tivB-0,Veronica Ivy - Trans Women in Womenâ€™s Sports | The Daily Show
144,The Daily Show,2022-07-08T13:00:15Z,1044848,https://www.youtube.com/watch?v=SPMSde2WxGc,Everything Is Stupid - America Has a Problem with Food | The Daily Show Throwback
10,BBC News,2023-12-07T22:49:40Z,783785,https://www.youtube.com/watch?v=mvUClDPFsGA,Images emerge of Palestinian captives stripped and bound in Gaza | BBC News
126,The Daily Show,2023-11-29T01:41:50Z,722380,https://www.youtube.com/watch?v=2Py-MLiX_0g,"Trump's ""Moderate"" Abortion Stance & Endless Shrimp Costs Red Lobster Millions | The Daily Show"
124,The Daily Show,2023-11-30T01:27:21Z,696113,https://www.youtube.com/watch?v=s9HT6aSstDs,George Santos Faces Expulsion & Koch Brothers Endorse Nikki Haley | The Daily Show
120,The Daily Show,2023-12-01T02:10:06Z,653356,https://www.youtube.com/watch?v=EYsN1rHi1mo,Henry Kissinger GOAT War Criminal Debate & Elon Musk Curses Out Advertisers | The Daily Show
133,The Daily Show,2022-08-02T03:25:44Z,636667,https://www.youtube.com/watch?v=CpY9kWTmdIg,Sec. Pete Buttigieg - Air Traveler Rights & The Future of Transportation | The Daily Show
130,The Daily Show,2022-08-04T19:17:05Z,622624,https://www.youtube.com/watch?v=qDRh2Aw2maw,The Realities of America's Student Debt Crisis | The Daily Show
123,The Daily Show,2023-11-30T04:29:55Z,610986,https://www.youtube.com/watch?v=DAp6gXocqUo,Mehdi Hasan - â€œWin Every Argumentâ€ & Humanizing the Israel-Hamas War | The Daily Show
74,NBC News,2023-12-08T04:08:31Z,566377,https://www.youtube.com/watch?v=qWurkjlq8Nw,Nightly News Full Broadcast - Dec. 7
33,BBC News,2023-12-05T09:15:54Z,521613,https://www.youtube.com/watch?v=MiUIs8kgQX8,Forest City: Inside Malaysia's Chinese-built 'ghost city' - BBC News
108,SomeGoodNews,2020-04-13T19:58:34Z,510170,https://www.youtube.com/watch?v=e8_6NEnS41A,"Some Good News & The Boston Red Sox: Thank You, Healthcare Heroes!"
127,The Daily Show,2023-11-18T14:00:46Z,438232,https://www.youtube.com/watch?v=xBJ-fE_u74U,"Congress Turns Into a Fight Club, Biden Meets with Xi, Santos Crime Spree Revealed | The Daily Show"
139,The Daily Show,2022-07-26T14:55:19Z,434369,https://www.youtube.com/watch?v=sPu0j7towPA,Daniel Kaluuya - â€œNOPEâ€ | The Daily Show
128,The Daily Show,2023-11-11T14:00:08Z,423859,https://www.youtube.com/watch?v=ECNZ2BHkszY,"Trump Testifies, Voters Prefer RFK Jr., & Republicans Spar in Debate | The Daily Show"
135,The Daily Show,2022-07-29T14:08:41Z,404849,https://www.youtube.com/watch?v=N8zF9tAzu74,BeyoncÃ©â€™s Album Leaks 36 Hours Early & America Enters a Debatable Recession | The Daily Show
47,BBC News,2023-12-03T10:39:57Z,402293,https://www.youtube.com/watch?v=-sd-780SYAs,Paris attack near Eiffel Tower leaves one dead and two injured | BBC News
149,The Daily Show,2022-06-30T01:04:20Z,390448,https://www.youtube.com/watch?v=s8PoccIlGes,NYC Mayor Eric Adams: â€œIâ€™m â€˜Incompleteâ€™ as Mayorâ€ | The Daily Show
113,The Daily Show,2023-12-05T01:46:42Z,379755,https://www.youtube.com/watch?v=44mQlSwBTW8,Congress Votes Santos Out & DeSantis & Newsom Throw Down | The Daily Show
109,The Daily Show,2023-12-06T01:56:02Z,354035,https://www.youtube.com/watch?v=NEXwTu8MN3g,New Warnings of a Second-Term Trump Nightmare & George Santos Joins Cameo | The Daily Show
119,The Daily Show,2023-12-01T13:55:14Z,308682,https://www.youtube.com/watch?v=9GzV0SGzTb8,Michelle Wolf Unpacks the Business of Childbirth - Long Story Short | The Daily Show
105,The Daily Show,2023-12-07T02:30:00Z,305622,https://www.youtube.com/watch?v=11s7JwQ2Z50,"Trump Talks ""One Day"" Dictatorship & Taylor Swift Named Time's Person of the Year | The Daily Show"
138,The Daily Show,2022-07-27T03:30:01Z,298541,https://www.youtube.com/watch?v=dbNDmY1-vSs,Molly Burke - Dispelling Misrepresentations of Blindness | The Daily Show
117,The Daily Show,2023-12-02T14:00:10Z,283675,https://www.youtube.com/watch?v=HPAd81AzqXg,"Kissinger's Death Sparks GOAT Debate & Trump Goes ""Moderate"" on Abortion? | The Daily Show"
103,The Daily Show,2023-12-08T01:40:29Z,268851,https://www.youtube.com/watch?v=cDW5Q7_T7mc,"Christie Slams Trump, Vivek Spews Conspiracies & Haley Bashes TikTok | The Daily Show"
35,BBC News,2023-12-04T23:30:13Z,255600,https://www.youtube.com/watch?v=i43WrOwwgpQ,Jewish settlers step up violent attacks on Palestinians in occupied West Bank | BBC News
106,SomeGoodNews,2020-04-24T14:30:41Z,246640,https://www.youtube.com/watch?v=t7GhemGAZXs,NASA Shares Some Good News from the International Space Station
16,BBC News,2023-12-07T09:17:05Z,243893,https://www.youtube.com/watch?v=iS0QuyyiT6M,"Israel strikes on Gaza likely cause â€˜complete break downâ€™ of public order, warns UN - BBC News"
136,The Daily Show,2022-07-28T03:24:55Z,238350,https://www.youtube.com/watch?v=daVsZJpEpCM,Rafael A. Mangual - Making the Case for More Policing | The Daily Show
194,The F Word,2022-10-28T16:00:40Z,237266,https://www.youtube.com/watch?v=nFqU8W7qeS8,Jeremy Clarkson Is Full Of Sh*t! #shorts
107,The Daily Show,2023-12-06T14:02:47Z,236067,https://www.youtube.com/watch?v=4bi3YyQEnVU,"2023 Wasn't All Bad, Just Ask Lewis Black | The Daily Show"
104,SomeGoodNews,2020-04-29T01:02:06Z,231074,https://www.youtube.com/watch?v=43diGN3pR8U,"John Krasinski Hosts Guy Fieri, Martha Stewart, David Chang, and Stanley Tucci for an SGN Potluck"
15,BBC News,2023-12-07T10:30:18Z,228424,https://www.youtube.com/watch?v=Vkamgm8y7CU,US Republicans block Ukraine and Israel aid bill - BBC News
195,NowThis News,2023-03-21T16:05:51Z,212393,https://www.youtube.com/watch?v=qjePTm9uNng,How Chef MoÃ¯se Turned Her Dream of Cooking Into Reality
45,BBC News,2023-12-03T23:35:59Z,199977,https://www.youtube.com/watch?v=078LvtHRm98,Israel launches ground offensive in south Gaza  | BBC News
129,The Daily Show,2022-08-05T03:22:17Z,196495,https://www.youtube.com/watch?v=j_XPD1boH0g,Amandla Stenberg - Comedy in Horror & Algorithmic Bias | The Daily Show
73,NBC News,2023-12-08T04:15:00Z,193675,https://www.youtube.com/watch?v=BwD1_KjYW9w,Venezuela threatens to claim an oil rich region in Guyana
199,NowThis News,2022-12-20T14:54:49Z,179960,https://www.youtube.com/watch?v=tggNvNykBPg,How Make-A-Wish Continues to Create Life Changing Experiences
77,NBC News,2023-12-08T03:31:16Z,179405,https://www.youtube.com/watch?v=I1TNrWlGloc,Top Story with Tom Llamas - Dec. 7 | NBC News NOW
145,The Daily Show,2022-07-01T21:35:38Z,173278,https://www.youtube.com/watch?v=Q51EkXNDnD0,Moses Ingram - â€œObi-Wan Kenobiâ€ | The Daily Show
194,NowThis News,2023-11-29T00:30:06Z,172463,https://www.youtube.com/watch?v=EKSktq30pK4,Robert De Niro Slams Trump in Gotham Awards Speech
