,channel_name,published_date,view_count,video_length,video_url,title
0,BNN - Mt. Juliet High School,2023-12-08T18:45:25Z,86,PT3M35S,https://www.youtube.com/watch?v=qvpjm3sOuhw,2023 12 08 Friday BNN
1,BNN - Mt. Juliet High School,2023-12-08T15:40:12Z,134,PT1H23M7S,https://www.youtube.com/watch?v=WByVHznTZDw,Mount Juliet High School vs Father Ryan High School Mens Varsity Basketball
2,BNN - Mt. Juliet High School,2023-12-07T19:25:56Z,100,PT4M15S,https://www.youtube.com/watch?v=sMvM60z2vxU,2023 12 07 Thursday BNN
3,BNN - Mt. Juliet High School,2023-12-07T15:04:14Z,97,PT1H28M48S,https://www.youtube.com/watch?v=K81qQTjqEh8,Freshman Lebanon vs Mt. Juliet
4,BNN - Mt. Juliet High School,2023-12-06T14:41:21Z,595,PT1H36M46S,https://www.youtube.com/watch?v=IM0goUXIRZw,Mt. Juliet High School Christmas Spectacular
5,BNN - Mt. Juliet High School,2023-12-06T00:11:22Z,18,PT27S,https://www.youtube.com/watch?v=JGJ11YQ4c1s,test
6,BNN - Mt. Juliet High School,2023-12-06T00:05:44Z,19,PT47S,https://www.youtube.com/watch?v=uK_GFRfraEQ,test
7,BNN - Mt. Juliet High School,2023-12-05T19:12:29Z,110,PT2M59S,https://www.youtube.com/watch?v=-c84TeHoPlQ,2023 12 05 Tuesday BNN
8,BNN - Mt. Juliet High School,2023-12-04T19:23:40Z,66,PT4M29S,https://www.youtube.com/watch?v=oQX8BB5G670,2023 12 04 Monday BNN
9,BNN - Mt. Juliet High School,2023-12-01T19:24:41Z,98,PT2M20S,https://www.youtube.com/watch?v=9VDE0VzahUE,2023 12 01 Friday BNN
10,BNN - Mt. Juliet High School,2023-11-27T19:13:08Z,58,PT2M53S,https://www.youtube.com/watch?v=p91JefTYSQc,2023 11 27 Monday BNN
11,BNN - Mt. Juliet High School,2023-11-17T18:20:18Z,426,PT40M24S,https://www.youtube.com/watch?v=tkzLmQGL2PQ,2023 MJHS MCJROTC Birthday Ball
12,BNN - Mt. Juliet High School,2023-11-16T02:26:25Z,158,PT7M33S,https://www.youtube.com/watch?v=bUnZ8TkENUU,Roman Petricca signs with Vanderbilt University
13,BNN - Mt. Juliet High School,2023-11-14T19:13:49Z,218,PT9M20S,https://www.youtube.com/watch?v=Qx4MHwaVLv8,2023 11 14 Tuesday BNN
14,BNN - Mt. Juliet High School,2023-10-28T11:52:53Z,508,PT26M23S,https://www.youtube.com/watch?v=DQyhbw-A0pI,Mount Juliet High School Golden Bears varsity football SENIOR NIGHT
15,BNN - Mt. Juliet High School,2023-10-14T15:48:34Z,2601,PT3H36M17S,https://www.youtube.com/watch?v=DJS1TYoBi9A,Mount Juliet High School Golden Bears varsity football vs. Lebanon
16,BNN - Mt. Juliet High School,2023-08-30T12:45:34Z,72,PT1H27M52S,https://www.youtube.com/watch?v=qY_y2jeSpjs,Mount Juliet High School vs Beech High School Womens Varsity Volleyball
17,BNN - Mt. Juliet High School,2023-05-20T13:55:00Z,2024,PT1H19M36S,https://www.youtube.com/watch?v=ZsOMMYLxNnA,2023 Mt. Juliet High School Graduation
18,BNN - Mt. Juliet High School,2023-05-20T01:00:00Z,23,PT2M7S,https://www.youtube.com/watch?v=22r_YG6omsA,MJHS Girls Soccer Class of 2023
19,BNN - Mt. Juliet High School,2023-05-20T01:00:26Z,75,PT3M17S,https://www.youtube.com/watch?v=f2VnDXmbm7I,MJHS MCJROTC Class of 2023
20,BNN - Mt. Juliet High School,2023-05-12T01:03:24Z,176,PT4M36S,https://www.youtube.com/watch?v=sL65D7j_1V0,Paisley Premo signs with Vanderbilt University for dance
21,BNN - Mt. Juliet High School,2023-05-11T20:32:22Z,130,PT5M23S,https://www.youtube.com/watch?v=hlPQGRfW0Ac,Abby Schwarz signs with Freed Hardeman University for soccer
22,BNN - Mt. Juliet High School,2023-05-07T16:54:32Z,191,PT6M14S,https://www.youtube.com/watch?v=_ajlHovOoPs,DeAirrus Morton signs with Cumberland University for football
23,BNN - Mt. Juliet High School,2023-05-07T01:44:28Z,231,PT5M39S,https://www.youtube.com/watch?v=lGERXmo2qk0,Cody Shepherd signs with Lindsey Wilson College for soccer
24,BNN - Mt. Juliet High School,2023-05-06T00:43:32Z,232,PT1H6M12S,https://www.youtube.com/watch?v=hd24ZaPtweg,2023 Golden Bear Awards
25,BNN - Mt. Juliet High School,2023-05-04T18:35:19Z,182,PT2M52S,https://www.youtube.com/watch?v=8b1ojYr9HUc,2023 05 04 Thursday BNN
26,BNN - Mt. Juliet High School,2023-05-03T18:14:07Z,169,PT3M58S,https://www.youtube.com/watch?v=fTIPO2idYeA,2023 05 03 Wednesday BNN
27,BNN - Mt. Juliet High School,2023-05-02T16:58:05Z,139,PT2M52S,https://www.youtube.com/watch?v=xHpjF5b2Z-c,2023 05 02 Tuesday BNN
28,BNN - Mt. Juliet High School,2023-05-01T17:05:07Z,152,PT3M26S,https://www.youtube.com/watch?v=ng6YMCOxaNM,2023 05 01 Monday BNN
29,BNN - Mt. Juliet High School,2023-05-01T00:53:48Z,91,PT5M56S,https://www.youtube.com/watch?v=UJ455-Fredc,Andrew Moore signs with Maryville College
30,BNN - Mt. Juliet High School,2023-04-26T01:08:39Z,108,PT4M51S,https://www.youtube.com/watch?v=oynMt7S_LmI,Ava Drizos signs with Upper Iowa for Soccer
31,BNN - Mt. Juliet High School,2023-04-24T18:28:55Z,135,PT4M46S,https://www.youtube.com/watch?v=Qw-ilckN8EM,2023 04 24 Monday BNN
32,BNN - Mt. Juliet High School,2023-04-23T19:58:33Z,373,PT5M21S,https://www.youtube.com/watch?v=IZUeL81F1Jk,Ali Cole signs with Cumberland University for soccer
33,BNN - Mt. Juliet High School,2023-04-22T20:47:52Z,151,PT2M37S,https://www.youtube.com/watch?v=FjfGWJye9nA,Class of 2023 Golden Bears talk about why they're enlisting
34,BNN - Mt. Juliet High School,2023-04-20T23:13:05Z,185,PT4M9S,https://www.youtube.com/watch?v=yC7oN4fKL5E,2023 MJHS Military Oath of Enlistment
35,BNN - Mt. Juliet High School,2023-04-19T18:38:29Z,97,PT3M48S,https://www.youtube.com/watch?v=LtoK8vCRVFw,2023 04 19 Wednesday BNN
36,BNN - Mt. Juliet High School,2023-04-05T18:28:54Z,205,PT5M18S,https://www.youtube.com/watch?v=kowfjjp5wBc,2023 04 05 Wednesday BNN
37,BNN - Mt. Juliet High School,2023-04-03T18:22:04Z,136,PT4M28S,https://www.youtube.com/watch?v=vet4V6EUWUw,2023 04 03 Monday BNN
38,BNN - Mt. Juliet High School,2023-03-29T17:52:26Z,144,PT4M2S,https://www.youtube.com/watch?v=ZWu27zGdaVk,2023 03 29 Wednesday BNN
39,BNN - Mt. Juliet High School,2023-03-24T17:56:14Z,172,PT4M28S,https://www.youtube.com/watch?v=WSOIQ2IXys8,2023-03-24 Friday BNN
40,BNN - Mt. Juliet High School,2023-03-20T18:23:58Z,104,PT2M42S,https://www.youtube.com/watch?v=96adZFd4lQI,2023-03-20 Monday BNN
41,BNN - Mt. Juliet High School,2023-03-14T18:40:48Z,139,PT5M,https://www.youtube.com/watch?v=-MMefhRZv6E,2023 03 14 Tuesday BNN
42,BNN - Mt. Juliet High School,2023-03-01T19:36:43Z,171,PT2M16S,https://www.youtube.com/watch?v=hwWpzzRzXZc,2023-03-01 Wednesday BNN
43,BNN - Mt. Juliet High School,2023-02-27T19:39:29Z,142,PT3M7S,https://www.youtube.com/watch?v=PES44438hzc,2023 02 27 Monday BNN
44,BNN - Mt. Juliet High School,2023-02-16T19:28:10Z,418,PT4M53S,https://www.youtube.com/watch?v=XgVJMm1h1dE,Romario Borno signs with John Melvin University
45,BNN - Mt. Juliet High School,2023-02-16T18:14:02Z,144,PT3M38S,https://www.youtube.com/watch?v=bx5ve4OwK7I,McKenzie Fitzgerald signs with Milligan University
46,BNN - Mt. Juliet High School,2023-02-16T18:05:41Z,149,PT2M36S,https://www.youtube.com/watch?v=XI20tiEFX0E,Amanda Hatfield signs with Cleveland State Community College
47,BNN - Mt. Juliet High School,2023-02-16T17:43:14Z,389,PT5M29S,https://www.youtube.com/watch?v=PQ17G_HKkXg,Osize Daniyan signs with Yale University
48,BNN - Mt. Juliet High School,2023-02-15T19:34:00Z,203,PT4M3S,https://www.youtube.com/watch?v=t0DqH6P1Ny0,Maston Kimbrough signs with Georgetown University
49,BNN - Mt. Juliet High School,2023-02-15T18:57:41Z,141,PT3M36S,https://www.youtube.com/watch?v=l-SIDDJf2Go,Ryan McWilliams signs with University of Pikeville
50,PeresCenter,2023-07-19T19:38:12Z,340,PT47S,https://www.youtube.com/watch?v=n5dbr-NK3yw,נורת האזהרה 🚨 של שמעון פרס מ-2011 כל-כך רלוונטית לימינו! 🇮🇱
51,PeresCenter,2023-06-26T14:09:56Z,43,PT3M15S,https://www.youtube.com/watch?v=zKrVJ5YO8IE,impACT365 - Innovation Marketplace 2023
52,PeresCenter,2023-04-04T17:40:49Z,148,PT2M9S,https://www.youtube.com/watch?v=oUill8Ehs3o,President Shimon Peres - AI Avatar of the Late President
53,PeresCenter,2023-03-29T08:11:39Z,48,PT1M27S,https://www.youtube.com/watch?v=W0dAoWpnJX4,Ecommunity Conference - Peres Center & USAID
54,PeresCenter,2023-03-14T16:44:25Z,153,PT6M30S,https://www.youtube.com/watch?v=FdvfZyebJfA,זיוה מקונן דגו 🛡️ אבירת מרכז לשלום ולחדשנות 2023
55,PeresCenter,2023-03-14T16:40:53Z,132,PT3M26S,https://www.youtube.com/watch?v=tPbB4a9iYNo,מיה דגן 🛡️ אבירת מרכז לשלום ולחדשנות 2023
56,PeresCenter,2023-03-14T16:39:54Z,315,PT3M40S,https://www.youtube.com/watch?v=htka0JeRD3g,נועה קירל 🛡️ אבירת מרכז לשלום ולחדשנות 2023
57,PeresCenter,2023-03-14T16:37:59Z,45,PT8M40S,https://www.youtube.com/watch?v=uxM4f0biECM,נארימאן סלימאן 🛡️ אבירת מרכז לשלום ולחדשנות 2023
58,PeresCenter,2023-03-14T16:36:41Z,34,PT6M11S,https://www.youtube.com/watch?v=PJT5h56dq_k,סמאהר סלמה 🛡️ אבירת מרכז לשלום ולחדשנות 2023
