,Unnamed: 0,channel_name,published_date,view_count,video_url,title,Label
0,0,Arianney Marey,2023-11-08T22:00:35Z,66,https://www.youtube.com/watch?v=vXXzd1a2VGM,"week in my life: food trip in montreal, fall activities, halloweekend in nyc",bad
1,1,Arianney Marey,2023-09-20T18:00:05Z,53,https://www.youtube.com/watch?v=BuSWfdT3A-8,"chicago vlog | cousins, food, meet the dogs",bad
2,2,Arianney Marey,2023-09-13T12:00:08Z,143,https://www.youtube.com/watch?v=9obUxRynf8o,istanbul vlog | first time in turkey,bad
3,3,Arianney Marey,2023-09-02T11:45:00Z,348,https://www.youtube.com/watch?v=-d7WF2nR8xY,rome vlog: my last days in italy visiting tourist sites & eating delicious italian food,bad
4,4,Arianney Marey,2023-08-18T18:01:54Z,646,https://www.youtube.com/watch?v=EezRh1C8y60,"italy vlog: exploring sicily (what to do & eat in taormina, catania, and ortigia siracusa)",bad
5,5,Arianney Marey,2023-07-31T14:00:34Z,1068,https://www.youtube.com/watch?v=gGW6x-8GFhg,"italy vlog: exploring sicily (cooking class, sicilian food, beach day in palermo)",bad
6,6,Arianney Marey,2023-07-21T18:00:12Z,1736,https://www.youtube.com/watch?v=Dn_UrMjBigg,"italy travel vlog: is naples safe, eating street food, exploring the city",bad
7,7,Arianney Marey,2023-07-14T15:00:11Z,393,https://www.youtube.com/watch?v=CbNFG_HAWW8,rome vlog: one month of solo travel in italy,bad
8,8,Arianney Marey,2023-04-28T14:00:31Z,189,https://www.youtube.com/watch?v=XBDU5M3O_hs,"spain travel vlog | first trip to madrid & barcelona, la sagrada familia, spanish tapas, nightlife",bad
9,9,Arianney Marey,2023-02-24T15:00:10Z,216,https://www.youtube.com/watch?v=IHvchWOCOkM,"paris travel vlog | first time in france, sunset cruise on the seine, versailles palace, montmartre",bad
10,10,Arianney Marey,2023-02-17T15:00:10Z,1397,https://www.youtube.com/watch?v=GD7k724HB1I,"porto travel vlog | first time in portugal, trying portuguese food, exploring the city w/ strangers",bad
11,11,Arianney Marey,2023-02-03T17:00:16Z,153,https://www.youtube.com/watch?v=UnaxThvG1TA,"february monthly reset 2023 | goal setting, vision board, declutter, journaling, january reflection",bad
12,12,Arianney Marey,2022-12-14T16:00:06Z,266,https://www.youtube.com/watch?v=6Fof9SegTn0,"a day in munich, germany (the nightlife) & spontaneous day trip to salzburg, austria | travel vlog",bad
13,13,Arianney Marey,2022-12-07T19:00:13Z,938,https://www.youtube.com/watch?v=PS0l-3e1bMY,"first time in germany | oktoberfest in munich, nazi rally grounds, nuremberg market food travel vlog",bad
14,14,Arianney Marey,2022-12-03T14:00:12Z,1245,https://www.youtube.com/watch?v=Faeh-6-iwEY,"switzerland vlog | exploring geneva, montreux, vevey, lausanne, and annecy, france in 4 days | pt 3",bad
15,15,Arianney Marey,2022-11-23T18:00:20Z,221,https://www.youtube.com/watch?v=tsoqVATCE1k,"switzerland vlog | paragliding in the swiss alps, grindelwald sunset, beautiful town of thun | pt 2",bad
16,16,Arianney Marey,2022-11-16T15:00:21Z,1041,https://www.youtube.com/watch?v=UBcFjFOmYtk,"switzerland vlog | solo travel in zurich, 24 hrs in old town lucerne, top of mount pilatus | pt 1",bad
17,17,Arianney Marey,2022-10-09T14:00:06Z,404,https://www.youtube.com/watch?v=79N7IUIU6Pc,"where to stay in egypt (aswan, luxor, & cairo)",bad
